Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Yrs,BA
Andrew Vaughn,CWS,1B,26,149,570,55,140,30,1,19,70,2,0,38,132,0,5,6,0.246,0.297,0.402,0.699,4,0.246
George Springer,TOR,OF,35,145,545,74,120,19,3,19,56,16,1,60,115,0,2,6,0.22,0.303,0.371,0.674,11,0.22
Vinnie Pasquantino,KC,1B,27,131,496,64,130,30,2,19,97,1,0,40,71,1,13,4,0.262,0.315,0.446,0.761,3,0.262
Tyler Stephenson,CIN,C,28,138,457,69,118,26,1,19,66,1,0,48,117,0,2,8,0.258,0.338,0.444,0.782,5,0.258
Mookie Betts,LAD,OF,32,116,450,75,130,24,5,19,75,16,2,61,57,0,4,1,0.289,0.372,0.491,0.863,11,0.289
Austin Riley,ATL,3B,27,110,425,63,109,26,2,19,56,0,0,37,118,0,2,5,0.256,0.322,0.461,0.783,6,0.256
Nolan Gorman,STL,2B,24,107,365,42,74,15,0,19,50,6,1,34,151,0,2,1,0.203,0.271,0.4,0.671,3,0.203
Cody Bellinger,CHC,OF,29,130,516,72,137,23,3,18,78,9,2,45,89,0,5,3,0.266,0.325,0.426,0.751,8,0.266
Jesus Sanchez,MIA,OF,27,149,489,60,123,25,1,18,64,16,2,41,140,1,2,4,0.252,0.313,0.417,0.73,5,0.252
Daulton Varsho,TOR,OF,28,136,459,73,98,21,7,18,58,10,2,48,137,1,1,4,0.214,0.293,0.407,0.7,5,0.214
Cedric Mullins,BAL,OF,30,147,444,69,104,16,3,18,54,32,6,41,98,2,2,5,0.234,0.305,0.405,0.71,7,0.234
Mike Yastrzemski,SF,OF,34,140,428,60,99,16,9,18,57,3,2,38,124,1,1,6,0.231,0.302,0.437,0.739,6,0.231
Bryan De La Cruz,MIA,OF,27,105,424,44,104,19,0,18,51,3,1,25,118,0,2,2,0.245,0.289,0.417,0.706,4,0.233
Jordan Westburg,BAL,2B,25,107,416,57,110,26,5,18,63,6,3,22,97,1,1,7,0.264,0.312,0.481,0.793,2,0.264
Jose Siri,TB,OF,29,130,402,50,75,16,1,18,47,14,7,31,170,2,4,7,0.187,0.255,0.366,0.621,4,0.187
Christopher Morel,CHC,OF,25,103,362,43,72,7,1,18,51,7,5,47,103,0,4,8,0.199,0.302,0.373,0.675,3,0.196
Byron Buxton,MIN,DH,30,102,355,62,99,27,3,18,56,7,2,20,99,0,2,11,0.279,0.335,0.524,0.859,10,0.279
Paul DeJong,CWS,SS,31,102,337,39,77,14,0,18,41,2,1,14,112,0,3,9,0.228,0.275,0.43,0.705,8,0.227
Kerry Carpenter,DET,OF,27,87,264,37,75,16,5,18,57,0,2,22,75,0,3,4,0.284,0.345,0.587,0.932,3,0.284
