Player,Yrs,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
Pedro Pages,1,68,202,19,48,3,2,7,27,13,58,2,0,.238
Brett Wisely,2,91,252,25,60,13,1,4,31,13,65,2,3,.238
Marcus Semien,12,159,650,101,154,27,2,23,74,64,105,8,3,.237
Michael Conforto,9,130,438,56,104,27,3,20,66,42,118,0,1,.237
Lane Thomas,6,130,472,65,112,26,3,15,63,44,137,32,14,.237
Francisco Alvarez,3,100,308,39,73,14,2,11,47,30,86,1,1,.237
Pete Crow-Armstrong,2,123,372,46,88,13,6,10,47,21,98,27,3,.237
Harrison Bader,8,143,402,57,95,19,0,12,51,21,95,17,8,.236
J.D. Martinez,14,120,434,46,102,24,1,16,69,49,141,0,0,.235
Anthony Santander,8,155,595,91,140,25,2,44,102,58,129,2,0,.235
Jon Singleton,4,119,355,46,83,13,1,13,42,47,111,0,0,.234
James McCann,11,65,214,27,50,9,0,8,31,13,56,1,0,.234
Cedric Mullins,7,147,444,69,104,16,3,18,54,41,98,32,6,.234
Ty France,6,140,479,46,112,24,0,13,51,38,114,1,1,.234
Patrick Bailey,2,121,401,46,94,16,1,8,46,39,100,4,0,.234
Giancarlo Stanton,15,114,417,49,97,20,0,27,72,38,143,0,0,.233
Dominic Smith,8,93,275,33,64,22,0,6,34,28,76,1,1,.233
Alex Verdugo,8,149,559,74,130,28,1,13,61,49,93,2,1,.233
Ke'Bryan Hayes,5,96,365,38,85,9,0,4,25,23,75,11,2,.233
Royce Lewis,3,82,292,40,68,16,0,16,47,28,74,0,0,.233
Gavin Sheets,4,139,451,35,105,24,1,10,45,43,106,2,2,.233
Bryan De La Cruz,4,149,584,61,136,25,0,21,68,29,170,5,2,.233
Ha-Seong Kim,4,121,403,60,94,16,3,11,47,58,77,22,5,.233
Andrew McCutchen,16,120,448,66,104,18,1,20,50,58,133,3,2,.232
Max Muncy,9,73,237,47,55,17,0,15,48,45,77,1,0,.232
Miguel Amaya,2,117,328,32,76,13,2,8,47,23,62,0,0,.232
Mike Yastrzemski,6,140,428,60,99,16,9,18,57,38,124,3,2,.231
Joey Meneses,3,76,281,19,65,11,0,3,42,21,63,2,0,.231
Seth Brown,6,124,372,32,86,11,1,14,44,25,112,4,2,.231
Jarred Kelenic,4,131,412,49,95,18,2,15,45,32,133,7,2,.231
